,岗位名称,公司名称,城市,地点,薪资,基本要求,公司状况,岗位技能,公司福利
135,数据分析师（股票方向）SH,通联数据,上海,[虹口区],15k-25k,15k-25k 经验1-3年 / 本科,金融 / 不需要融资 / 150-500人,数据分析 数据库 SQL,“五险一金、年假、补充医疗保险”
136,数据分析师,掌门集团,上海,[浦东新区],15k-30k,15k-30k 经验1-3年 / 本科,"移动互联网,消费生活 / B轮 / 500-2000人",移动互联网,"“股票期权,弹性工作,行业独角兽”"
137,数据分析师,Oriente,上海,[陆家嘴],15k-30k,15k-30k 经验3-5年 / 本科,"移动互联网,金融 / B轮 / 500-2000人",移动互联网 金融 数据分析 SQL,"“弹性工作,绩效奖金,股票期权,福利津贴”"
138,数据分析师,叮咚买菜,上海,[浦东新区],15k-30k,15k-30k 经验3-5年 / 本科,消费生活 / B轮 / 2000人以上,电商 新零售,“技术”
139,高级数据分析师 (MJ001016),挖财,上海,[浦东新区],15k-30k,15k-30k 经验3-5年 / 本科,工具 / D轮及以上 / 500-2000人,数据分析,"“公司平台,晋升空间,弹性工作,节假日福利”"
140,数据分析师(J18427),携程,上海,[北新泾],15k-30k,15k-30k 经验3-5年 / 本科,旅游 / 上市公司 / 2000人以上,数据分析 数据仓库 数据库开发,"“平台大,领导好,办公环境好”"
141,数据分析师,拼多多,上海,[长宁区],15k-30k,15k-30k 经验3-5年 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",电商,"“平台好,大牛多,薪资待遇佳”"
142,数据分析师,SideChef,上海,[徐家汇],15k-25k,15k-25k 经验1-3年 / 本科,移动互联网 / A轮 / 15-50人,BI 数据分析,"“物联网,时间自由,吃货最爱,创业公司”"
143,数据分析师,上海小牛互娱智能科技有限公司,上海,[张江],15k-30k,15k-30k 经验3-5年 / 本科,移动互联网 / 未融资 / 500-2000人,移动互联网 商业 BI 数据分析,“年底双薪 弹性工作”
144,数据分析师,房价网,上海,[张江],15k-30k,15k-30k 经验3-5年 / 本科,"移动互联网,数据服务 / B轮 / 50-150人",BI 可视化 数据运营 数据分析,"“平台好,待遇好,老板好,机会多”"
145,资深数据分析师,上海只二网络科技有限公司,上海,[浦东新区],18k-30k,18k-30k 经验3-5年 / 本科,"移动互联网,电商 / B轮 / 50-150人",数据分析 MySQL Hadoop,“出国游 餐补房补 领导nice”
146,数据分析专员,掌门1对1在线教育,上海,[四平路],12k-23k,12k-23k 经验3-5年 / 不限,"移动互联网,教育 / D轮及以上 / 2000人以上",教育 移动互联网 SQL BI,“14薪 员工旅游 定期体检 五险一金”
147,数据分析与建模专家,招商银行信用卡中心,上海,[浦东新区],40k-65k,40k-65k 经验5-10年 / 本科,金融 / 上市公司 / 2000人以上,数据分析 数据架构,“职位晋升 福利待遇好 工作氛围好”
148,数据分析师,WESTWELLlab西井科技,上海,[镇宁路],18k-25k,18k-25k 经验不限 / 硕士,"数据服务,硬件 / B轮 / 50-150人",BI 可视化 数据分析 数据运营,"“发展平台,激发潜力,一线福利,团队有爱”"
149,数据分析师,千寻位置,上海,[杨浦区],20k-30k,20k-30k 经验3-5年 / 本科,移动互联网 / 不需要融资 / 150-500人,数据分析 MySQL,“阿里+中兵 10天年假 五险一金”
150,数据分析师（平台治理方向）,拼多多,上海,[长宁区],15k-30k,15k-30k 经验1年以下 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",游戏 大数据 数据挖掘 数据分析,"“平台好,大牛多,薪资待遇佳”"
151,数据分析师,携程,上海,[北新泾],15k-30k,15k-30k 经验3-5年 / 本科,旅游 / 上市公司 / 2000人以上,数据分析 数据库,“五险一金 节假日福利 带薪年假 年终奖”
152,数据分析师,平安金服,上海,[浦东新区],30k-60k,30k-60k 经验5-10年 / 本科,金融 / 上市公司 / 2000人以上,数据分析 数据运营,"“福利好,技术牛人多,奖金多,平台好”"
153,高级数据分析师,算话智能科技有限公司,上海,[长宁区],15k-30k,15k-30k 经验3-5年 / 本科,"数据服务,移动互联网 / B轮 / 50-150人",大数据 移动互联网 数据分析,“优秀团队、绩效奖金、福利津贴、定期体检”
154,解决方案顾问/售前顾问 / 数据分析师,观远数据,上海,[虹梅路],15k-30k,15k-30k 经验3-5年 / 本科,"企业服务,数据服务 / B轮 / 50-150人",大数据 金融 数据分析,"“成长空间,牛人团队,独挡一面,期权激励”"
155,数据分析师,上海小牛互娱智能科技有限公司,上海,[张江],20k-28k,20k-28k 经验5-10年 / 本科,移动互联网 / 未融资 / 500-2000人,SQL BI 商业,“大牛多，气氛好”
156,数据分析师,毒APP,上海,[广中路],20k-30k,20k-30k 经验不限 / 不限,"移动互联网,电商 / B轮 / 500-2000人",Hadoop MySQL 数据挖掘,“一年多薪/扁平管理/氛围好/发展空间大”
157,数据分析师,派拉软件,上海,[张江],25k-40k,25k-40k 经验3-5年 / 硕士,数据服务 / 上市公司 / 150-500人,信息安全 数据分析 数据库 SQL,“年终奖高，晋升空间大，扁平化管理”
158,数据分析师,行动教育,上海,[华漕],6k-8k,6k-8k 经验1年以下 / 本科,教育 / 上市公司 / 500-2000人,教育 数据分析 数据运营 SQL,"“公司好,团队好,发展空间大”"
159,数据分析工程师,虎扑,上海,[江湾],15k-30k,15k-30k 经验3-5年 / 本科,"移动互联网,文娱丨内容 / D轮及以上 / 150-500人",大数据 数据分析,"“平台广阔,团队靠谱,激励优厚”"
160,数据分析主管（客服部门）,上海瑞阙文化发展有限公司,上海,[黄浦区],15k-20k,15k-20k 经验5-10年 / 本科,"移动互联网,金融 / 不需要融资 / 150-500人",数据分析 数据运营 数据库 SQL,"“五险一金,弹性工作,带薪病假,免费晚餐”"
161,大数据分析师,守易科技,上海,[宝山区],15k-20k,15k-20k 经验3-5年 / 本科,"移动互联网,电商 / A轮 / 15-50人",大数据 数据分析 数据处理,“股票期权 带薪年假 扁平管理 新技术研究”
162,数据分析师,至数,上海,[虹梅路],5k-10k,5k-10k 经验1-3年 / 大专,"数据服务,硬件 / A轮 / 15-50人",数据分析,“发展前景好”
163,数据分析/数据科学,CHARLES & KEITH | PEDRO,上海,[黄浦区],10k-15k,10k-15k 经验1-3年 / 不限,"电商,其他 / 不需要融资 / 150-500人",电商 新零售,"“带薪年假,五险一金,年底双薪,发展空间大”"
164,资深数据分析师,云积互动,上海,[静安区],15k-25k,15k-25k 经验3-5年 / 本科,"企业服务,移动互联网 / 天使轮 / 150-500人",电商 数据挖掘 数据分析 算法,“高能团队 五险一金 多次调薪”
165,数据分析,拼多多,上海,[长宁区],20k-35k,20k-35k 经验5-10年 / 本科,"电商,移动互联网 / 上市公司 / 2000人以上",电商 BI SPSS,"“福利待遇好,晋升快,团队氛围好,公司潜力佳”"
166,资深数据分析师,上海你我贷互联网金融信息服务,上海,[金桥],15k-18k,15k-18k 经验3-5年 / 本科,金融 / 上市公司 / 500-2000人,互联网金融 SQLServer 数据分析 数据挖掘 MySQL,“领导nice 大平台 上市公司”
167,数据分析工程师,商涌网络,上海,[浦东新区],8k-15k,8k-15k 经验不限 / 本科,数据服务 / A轮 / 50-150人,大数据 数据分析,"“学习成长快团队氛围好发展空间大,新兴行业”"
168,数据分析师,易居克而瑞,上海,[闸北公园],2k-4k,2k-4k 经验不限 / 本科,"移动互联网,消费生活 / 上市公司 / 500-2000人",数据库 SPSS 数据分析,“五险一金 技能培训 岗位晋升 实习生留用”
169,数据分析师,虎扑,上海,[虹口足球场],20k-30k,20k-30k 经验3-5年 / 本科,"移动互联网,文娱丨内容 / D轮及以上 / 150-500人",数据分析,“发展前景”
170,数据分析工程师/专家（市场流量）,拍拍贷,上海,[浦东新区],10k-15k,10k-15k 经验1-3年 / 本科,金融 / 上市公司 / 2000人以上,MySQL 数据分析,“优秀团队，快速发展，核心业务”
171,资深数据分析师,永辉云创科技有限公司,上海,[虹梅路],28k-38k,28k-38k 经验5-10年 / 本科,"电商,消费生活 / D轮及以上 / 2000人以上",新零售 数据分析,“待遇优、空间大、平台好”
172,中级数据分析师,长投学堂,上海,[浦东新区],15k-25k,15k-25k 经验1-3年 / 本科,移动互联网 / A轮 / 150-500人,数据分析,“扁平化管理 、带薪年假、季度团建”
173,高级数据分析师,韩创科技,上海,[南码头],12k-18k,12k-18k 经验3-5年 / 本科,"移动互联网,文娱丨内容 / 不需要融资 / 500-2000人",商业 数据分析 SQL,“五险一金 周末双休 绩效奖金 带薪年假”
174,数据分析师,阿里巴巴-新零售技术事业群,上海,[华漕],25k-40k,25k-40k 经验应届毕业生 / 不限,电商 / 上市公司 / 2000人以上,数据分析,"“阿里巴巴，完善福利,技术导向”"
175,数据分析师,"111,Inc.",上海,[浦东新区],18k-25k,18k-25k 经验3-5年 / 本科,"移动互联网,电商 / 上市公司 / 500-2000人",电商 医疗健康 MySQL 数据分析,“上市公司、薪资福利佳、完善的晋升培训体系”
176,数据分析师,复星,上海,[长阳路],20k-40k,20k-40k 经验5-10年 / 本科,"消费生活,金融 / 上市公司 / 2000人以上",BI,“平台大”
177,高级数据分析师,百融云创,上海,[浦东新区],15k-20k,15k-20k 经验1-3年 / 本科,金融 / C轮 / 500-2000人,数据分析,“六险一金 福利补贴 年终奖金”
178,数据分析师,流利说®,上海,[长阳路],20k-35k,20k-35k 经验3-5年 / 不限,教育 / 上市公司 / 2000人以上,数据分析,“美股上市 人工智能 不打卡 硅谷文化”
179,资深数据分析/BI,米立,上海,[虹桥],15k-30k,15k-30k 经验5-10年 / 本科,移动互联网 / A轮 / 50-150人,BI 数据分析 可视化,“股票期权、快速学习”
180,数据分析专员,晨光科力普,上海,[徐汇区],8k-15k,8k-15k 经验不限 / 不限,"电商,企业服务 / 不需要融资 / 500-2000人",电商 企业服务 BI 数据分析 SQL 数据运营,“上市公司正规，细分市场龙头，业绩每年翻倍”
181,数据分析师（应届生）,乐麦信息技术（杭州）有限公司,上海,[遵义路],6k-10k,6k-10k 经验不限 / 本科,电商 / 不需要融资 / 500-2000人,电商 大数据,“五险一金、周末双休、带薪年假、节日福利”
182,数据分析员,圣承,上海,[北外滩],8k-10k,8k-10k 经验1-3年 / 大专,"移动互联网,教育 / 未融资 / 50-150人",汽车 数据分析 SQL,“名企 平台大 领导好”
183,商业化数据分析师,字节跳动,上海,[徐汇区],15k-30k,15k-30k 经验3-5年 / 本科,文娱丨内容 / C轮 / 2000人以上,移动互联网 数据分析,“六险二金 餐补 租房补贴 岗位晋升”
184,数据分析实习(可留用),算话智能科技有限公司,上海,[中山公园],3k-5k,3k-5k 经验不限 / 不限,"数据服务,移动互联网 / B轮 / 50-150人",大数据 数据分析,“优秀团队、股票期权、绩效奖金、福利补贴”
185,数据分析与运营,驰骛科技ChiefClouds,上海,[徐汇区],6k-10k,6k-10k 经验3-5年 / 本科,"数据服务,移动互联网 / A轮 / 50-150人",数据分析 数据运营,“员工餐 年度体检 免费零食 不打卡”
186,高级数据分析师,快牛金科,上海,[北新泾],15k-25k,15k-25k 经验3-5年 / 本科,其他 / B轮 / 500-2000人,金融 BI 数据分析 数据运营 商业,“晋升空间、年终奖、弹性工作、六险一金”
187,数据分析岗,新分享科技服务,上海,[陆家嘴],20k-30k,20k-30k 经验1-3年 / 本科,金融 / B轮 / 50-150人,互联网金融,“年底双薪，绩效奖金，带薪年假，金融科技”
188,数据分析师,V8音视频,上海,[静安区],20k-40k,20k-40k 经验1-3年 / 本科,移动互联网 / B轮 / 150-500人,SQL 商业 数据分析 SPSS,“补充商业保险 房补 免费三餐”
189,资深数据分析师,趣头条,上海,[花木],25k-50k,25k-50k 经验5-10年 / 本科,文娱丨内容 / 上市公司 / 500-2000人,移动互联网 数据分析,“上市公司，千万级日活，上升空间”
190,高级数据分析师,AdMaster,上海,[长征],8k-15k,8k-15k 经验1-3年 / 本科,数据服务 / 不需要融资 / 2000人以上,大数据,“空间大 平台好 福利多”
191,数据分析师,亚朵集团,上海,[虹桥],20k-30k,20k-30k 经验3-5年 / 本科,"旅游,消费生活 / 不需要融资 / 2000人以上",电商 本地生活 数据分析 BI 商业,“氛围好 有前景 下午茶 节日礼物”
192,业务数据分析,美团点评,上海,[长宁区],15k-30k,15k-30k 经验3-5年 / 本科,消费生活 / 上市公司 / 2000人以上,数据分析,“平台好，发展空间大”
193,高级数据分析师(J10257),河姆渡电子商务有限公司,上海,[世纪公园],15k-25k,15k-25k 经验5-10年 / 本科,电商 / A轮 / 500-2000人,数据分析,"“福利丰厚,晋升空间大”"
194,数据分析师,鸿研物流,上海,[闵行区],20k-25k,20k-25k 经验3-5年 / 本科,消费生活 / C轮 / 150-500人,可视化 SQL 数据分析 数据库,“大牛带队 项目奖励 组织扁平”
195,数据分析师,趣头条,上海,[张江],20k-40k,20k-40k 经验3-5年 / 本科,文娱丨内容 / 上市公司 / 500-2000人,电商 社交 数据分析 数据处理,“薪资待遇好，全年基本上15薪以上。”
196,数据分析经理,字节跳动,上海,[徐汇区],30k-50k,30k-50k 经验1-3年 / 本科,文娱丨内容 / C轮 / 2000人以上,数据分析,“15薪+1000餐补/月1000房补/月”
197,资深数据分析师,凹凸租车,上海,[徐家汇],25k-30k,25k-30k 经验5-10年 / 本科,"移动互联网,电商 / C轮 / 500-2000人",本地生活 汽车 数据分析 SQL 商业,“做五休二 办公环境佳”
198,数据分析师 (MJ001006),哔哩哔哩,上海,[复旦大学],20k-35k,20k-35k 经验3-5年 / 本科,"移动互联网,文娱丨内容 / 上市公司 / 2000人以上",商业 数据分析 增长黑客,“六险一金 年终奖 互联网 上市公司”
199,高级数据分析师,长投学堂,上海,[张江],15k-30k,15k-30k 经验3-5年 / 本科,移动互联网 / A轮 / 150-500人,数据分析,“扁平化管理 季度团建 带薪年假”
200,数据分析专家,饿了么,上海,[长征],25k-35k,25k-35k 经验5-10年 / 本科,消费生活 / D轮及以上 / 2000人以上,SQL BI 可视化 数据分析,“13薪、福利旅游、扁平化管理”
201,数据分析leader,上海腾聘,上海,[张江],35k-65k,35k-65k 经验5-10年 / 本科,"移动互联网,数据服务 / B轮 / 50-150人",移动互联网,"“发展空间,薪资给力,期权”"
202,高级数据分析师,宝尊电商,上海,[场中路],10k-15k,10k-15k 经验3-5年 / 本科,企业服务 / 上市公司 / 2000人以上,电商 大数据,“六险一金上市公司加班补贴 绩效奖金全勤奖”
203,高级数据分析师(J10309),震坤行,上海,[张江],20k-30k,20k-30k 经验5-10年 / 本科,电商 / D轮及以上 / 500-2000人,电商 数据分析,“发展前景好 平台好”
204,资深数据分析经理,交银企服,上海,[天山路],25k-50k,25k-50k 经验5-10年 / 本科,"移动互联网,金融 / 上市公司 / 2000人以上",数据挖掘 数据分析 数据处理,“银行，国企”
205,模型数据分析师,信用飞/首付游,上海,[长宁区],15k-25k,15k-25k 经验1-3年 / 本科,移动互联网 / B轮 / 150-500人,大数据 金融 数据挖掘 数据分析,"“弹性工作,扁平管理,年轻团队,高效透明”"
206,资深数据分析师（宏观行业）SH,通联数据,上海,[虹口区],15k-25k,15k-25k 经验1-3年 / 本科,金融 / 不需要融资 / 150-500人,数据分析 SQL 数据库,“五险一金、年假、补充医疗保险”
